,Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,15.34,74.49,Vaini,IN,67.4,98,92,5.75
1,62.23,-6.59,Klaksvik,FO,50.0,87,80,12.75
2,50.68,156.12,Severo-Kurilsk,RU,51.47,100,20,3.51
3,60.06,69.92,Gornopravdinsk,RU,55.79,98,92,10.45
4,73.51,80.55,Dikson,RU,49.76,81,100,17.49
5,-54.81,-68.31,Ushuaia,AR,50.0,46,20,17.22
6,-15.77,128.74,Kununurra,AU,46.4,81,0,4.63
7,-20.41,57.7,Mahebourg,MU,66.2,82,40,6.93
8,10.24,-61.45,Esperance,TT,78.8,88,75,6.93
9,-6.53,-64.38,Canutama,BR,89.54,52,20,4.07
10,-33.64,115.35,Busselton,AU,53.36,100,68,16.71
11,-53.16,-70.91,Punta Arenas,CL,50.0,79,75,13.87
12,-46.43,-67.52,Mar del Plata,AR,52.1,48,88,11.45
13,0.53,72.93,Thinadhoo,MV,83.6,100,88,5.41
14,65.42,-52.9,Maniitsoq,GL,46.34,93,0,6.42
15,69.38,178.42,Leningradskiy,RU,34.37,100,76,13.02
16,56.76,48.47,Sovetskiy,RU,48.59,86,0,3.74
17,3.07,172.79,Butaritari,KI,83.06,100,20,8.1
18,61.99,5.14,Raudeberg,NO,59.0,77,88,8.05
19,37.47,-4.43,Cabra,ES,82.4,31,0,5.82
20,42.65,-73.75,Albany,US,82.4,48,20,11.41
21,24.19,102.82,Xingyi,CN,62.45,100,92,2.62
22,-22.97,-42.02,Arraial do Cabo,BR,78.8,69,0,8.05
23,-38.55,-58.74,Necochea,AR,47.24,74,0,10.22
24,-3.66,152.44,Namatanai,PG,79.73,100,92,11.45
25,59.7,30.79,Nikolskoye,RU,73.4,60,0,11.18
26,24.63,46.72,Riyadh,SA,93.2,14,0,5.82
27,8.96,38.73,Lebu,ET,47.78,83,48,2.73
28,-3.44,10.65,Mayumba,GA,68.93,98,0,5.41
29,42.9,133.91,Preobrazheniye,RU,59.93,91,76,1.05
30,-46.19,168.86,Mataura,NZ,35.36,100,12,5.08
31,-34.42,19.24,Hermanus,ZA,45.44,92,48,4.41
32,70.62,147.9,Chokurdakh,RU,42.47,79,0,11.79
33,-21.64,-41.05,Sao Joao da Barra,BR,77.0,73,0,13.87
34,-19.06,-169.92,Alofi,NU,69.8,77,20,5.41
35,78.22,15.63,Longyearbyen,NO,42.8,87,90,11.41
36,-9.8,-139.03,Atuona,PF,80.36,97,88,15.7
37,60.14,-45.24,Nanortalik,GL,44.63,100,92,4.18
38,47.8,67.71,Zhezkazgan,KZ,74.42,64,12,2.95
39,-23.12,-134.97,Rikitea,PF,74.24,100,80,20.74
40,65.61,-37.64,Tasiilaq,GL,46.4,81,75,9.17
41,69.7,170.27,Pevek,RU,37.52,100,20,4.97
42,-30.17,-50.22,Cidreira,BR,51.11,93,92,21.41
43,-23.58,149.07,Bluff,AU,38.78,75,0,4.63
44,77.48,-69.36,Qaanaaq,GL,37.61,93,0,0.38
45,11.75,11.96,Damaturu,NG,73.97,90,44,9.44
46,71.64,128.87,Tiksi,RU,49.31,90,0,2.95
47,-19.98,57.61,Cap Malheureux,MU,66.2,82,40,6.93
48,-21.21,-159.78,Avarua,CK,73.4,69,20,6.93
49,-13.6,24.21,Kabompo,ZM,61.19,38,0,5.64
50,18.22,-63.06,The Valley,AI,87.8,62,20,11.41
